Dataset,Training,Encoding,Query,Precision,Recall,MAP
SIFT,need answers & groundtruth file args
SIFT,need answers & groundtruth file args
SIFT,need answers & groundtruth file args
SIFT,need answers & groundtruth file args
SIFT,need answers & groundtruth file args
SIFT,need answers & groundtruth file args
SIFT,need answers & groundtruth file args
SIFT,need answers & groundtruth file args
Dataset,Training,Encoding,Query,Precision,Recall,MAP
SIFT,85.0332,32.1026,2.28382,0.8155999999999999,1.0,0.6399404724829881
SIFT,1165.55,57.4682,2.28702,0.8025999999999998,1.0,0.6208368921309892
SIFT,84.3431,32.8531,1.13344,0.6757000000000002,0.81,0.4776614916437902
SIFT,1165.51,58.1145,1.3008,0.6989000000000002,0.84,0.4947907692372702
SIFT,85.1346,33.0604,0.390028,0.5905000000000004,0.69,0.39134642355911475
SIFT,1172.03,58.8673,0.489468,0.5585999999999999,0.7,0.36297544004711635
Dataset,Training,Encoding,Query,Precision,Recall,MAP
SALD,SALD,SALD,SALD,SALD,SALD,Dataset,Training,Encoding,Query,Precision,Recall,MAP
SALD,84.818,31.991,2.28575,0.8302,1.0,0.6332627624684195
SALD,SALD,84.0147,33.0666,1.32202,0.7957000000000001,0.94,0.590768796524912
SALD,1169.09,58.9226,1.45638,0.7779999999999998,0.95,0.5628085141446499
SALD,84.2286,33.3875,0.54187,0.6987000000000001,0.87,0.5070078130569019
SALD,1161.21,58.4447,0.435017,0.7364999999999998,0.84,0.523937520826809
Dataset,Training,Encoding,Query,Precision,Recall,MAP
SALD,1167.87,57.4851,2.28941,0.8258999999999999,1.0,0.6176981046219597
Dataset,Training,Encoding,Query,Precision,Recall,MAP
ASTRO,134.855,35.5136,2.2839,ASTRO,2274.05,149.044,2.29949,0.4701999999999999,0.99,0.28873531005388864
ASTRO,133.093,37.4944,3.9875,0.19720000000000001,0.99,0.11845859888285165
ASTRO,2269.86,153.027,1.14731,0.38899999999999985,1.0,0.189537379038822
ASTRO,134.51,39.2982,0.270526,0.4118000000000003,0.99,0.21671884480797896
ASTRO,2278.16,152.365,0.166123,0.22219999999999981,0.55,0.06666520862054806
